sku,name,slug,item_kind,stock_uom,group_id,source_lines
BAKE-CAST-SUGR,Caster Sugar,bake-cast-sugr,INGREDIENT,kg,,1
LGHT-BROW-SUGR,Light Brown Sugar,lght-brow-sugr,INGREDIENT,kg,,1
BAKE-ICNG-SUGR,Icing Sugar,bake-icng-sugr,INGREDIENT,kg,,1
BAKE-PLAN-FLOR,HP Plain Flour,bake-plan-flor,INGREDIENT,kg,,1
SELF-RASG-FLOR,HP Self Raising Flour,self-rasg-flor,INGREDIENT,kg,,1
BAKI-POWD,Baking Powder,baki-powd,INGREDIENT,kg,,1
BICA-SODA,Bicarbonate of Soda,bica-soda,INGREDIENT,kg,,1
SALT,Salt,salt,INGREDIENT,kg,,1
BAKE-CORN-FLOR,Cornflour,bake-corn-flor,INGREDIENT,kg,,1
LONG-LIFE-RAPE,Long Life Rapeseed Oil,long-life-rape,INGREDIENT,l,,1
SEMI-SKIM-MILK,Long Life Semi Skimmed Milk,semi-skim-milk,INGREDIENT,l,,1
DAIR-MEDM-EGGS,Whole Eggs,dair-medm-eggs,INGREDIENT,each,,1
LIQD-EGG-WHIT,Egg Whites,liqd-egg-whit,INGREDIENT,kg,,1
DAIR-UNSL-BUTR,Unsalted Butter,dair-unsl-butr,INGREDIENT,kg,,1
STOR-BUTR-ALTN,Stork,stor-butr-altn,INGREDIENT,kg,,1
CREA-CHEE,Cream Cheese,crea-chee,INGREDIENT,kg,,1
FRUT-FORE-MIX,Frozen Fruits,frut-fore-mix,INGREDIENT,kg,,1
WHIT-CHOC,White Chocolate,whit-choc,INGREDIENT,kg,,1
MILK-CHOC-COUV,Milk Chocolate,milk-choc-couv,INGREDIENT,kg,,1
DARK-CHOC-COUV,Dark Chocolate,dark-choc-couv,INGREDIENT,kg,,1
GF-PLAI-FLOU,GF Plain Flour,gf-plai-flou,INGREDIENT,kg,,1
GF-SELF-RAIS,GF Self Raising Flour,gf-self-rais,INGREDIENT,kg,,1
GF-BAKI-POWD,GF Baking Powder,gf-baki-powd,INGREDIENT,kg,,1
AQUA,Aquafaba - Oggs,aqua,INGREDIENT,l,,1
DAIR-SOYA-MILK,Long Life Soya Milk,dair-soya-milk,INGREDIENT,l,,2
DAIR-OAT-MILK,Long Life Oat Milk,dair-oat-milk,INGREDIENT,l,,2
VEGA-DOUB-CREA,Vegan Double Cream,vega-doub-crea,INGREDIENT,l,,1
VEGA-SHEE-CREA,Vegan (sheese) Cream Cheese,vega-shee-crea,INGREDIENT,kg,,1
VEGA-WHIT-CHOC,Vegan White Chocolate,vega-whit-choc,INGREDIENT,kg,,1
VEGA-MILK-DARK,Vegan Milk/dark Chocolate,vega-milk-dark,INGREDIENT,kg,,1
BAKE-FOND-WHIT,White Fondant,bake-fond-whit,INGREDIENT,kg,,2
BAKE-FOND-BLAK,Black Fondant,bake-fond-blak,INGREDIENT,kg,,2
BAKE-FOND-RED,Red Fondant,bake-fond-red,INGREDIENT,kg,,2
BAKE-FOND-PINK,Pink Fondant,bake-fond-pink,INGREDIENT,kg,,2
BAKE-FOND-YELW,Yellow Fondant,bake-fond-yelw,INGREDIENT,kg,,2
BAKE-FOND-ORNG,Orange Fondant,bake-fond-orng,INGREDIENT,kg,,2
BAKE-FOND-BLUE,Blue Fondant,bake-fond-blue,INGREDIENT,kg,,1
BAKE-FOND-GREN,Green Fondant,bake-fond-gren,INGREDIENT,kg,,2
BROW-FOND,brown fondant,brow-fond,INGREDIENT,kg,,1
BAKE-ESSN-VANL,Vanilla,bake-essn-vanl,INGREDIENT,l,,1
BAKE-ESSN-LEMN,Lemon,bake-essn-lemn,INGREDIENT,l,,1
BAKE-ESSN-ALMD,Almond,bake-essn-almd,INGREDIENT,l,,1
BAKE-ESSN-COFF,Coffee,bake-essn-coff,INGREDIENT,l,,1
BAKE-ESSN-BANA,Banana,bake-essn-bana,INGREDIENT,l,,1
PROD-RASP-BERY,Raspberry,prod-rasp-bery,INGREDIENT,l,,1
BAKE-ESSN-STRW,Strawberry,bake-essn-strw,INGREDIENT,l,,1
PROD-BLAK-BERY,Blackberry,prod-blak-bery,INGREDIENT,l,,1
BAKE-ESSN-ORBL,Orange Blossom,bake-essn-orbl,INGREDIENT,l,,1
BAKE-ESSN-MANG,Mango,bake-essn-mang,INGREDIENT,l,,1
BAKE-ESSN-BLCH,Black Cherry,bake-essn-blch,INGREDIENT,l,,1
BAKE-ESSN-BTSC,Butterscotch,bake-essn-btsc,INGREDIENT,l,,1
BAKE-ESSN-ELDR,Elderflower,bake-essn-eldr,INGREDIENT,l,,1
BAKE-ESSN-RMRS,Rum & Raisin,bake-essn-rmrs,INGREDIENT,l,,1
BAKE-ESSN-CARA,Caramel,bake-essn-cara,INGREDIENT,l,,1
CINN,Cinnamon,cinn,INGREDIENT,kg,,1
GING,Ginger,ging,INGREDIENT,kg,,1
BAKE-DESI-COCO,Dessicated Coconut,bake-desi-coco,INGREDIENT,kg,,1
BAKE-COCO-POWD,Cocoa Powder,bake-coco-powd,INGREDIENT,kg,,1
NUTS-WHOL-HAZL,Hazelnuts,nuts-whol-hazl,INGREDIENT,kg,,1
NUTS-WALN-PIEC,Walnuts,nuts-waln-piec,INGREDIENT,kg,,1
