Count order,Area,Section,Count item,Unit of Measure,Pack,Supplier (count list),Suggested main SKU
1,General Ingredients,DRY STOCK,Caster Sugar,Kg,25kg,Brakes,BAKE-CAST-SUGR
2,General Ingredients,DRY STOCK,Light Brown Sugar,Kg,3kg,Brakes,LGHT-BROW-SUGR
3,General Ingredients,DRY STOCK,Icing Sugar,Kg,25kg,Brakes,BAKE-ICNG-SUGR
4,General Ingredients,DRY STOCK,HP Plain Flour,Kg,X,Homepride,BAKE-PLAN-FLOR
5,General Ingredients,DRY STOCK,HP Self Raising Flour,Kg,X,Homepride,SELF-RASG-FLOR
6,General Ingredients,DRY STOCK,Baking Powder,Kg,3.5kg,Brakes,ADD ITEM
7,General Ingredients,DRY STOCK,Bicarbonate of Soda,Kg,1kg,Brakes,ADD ITEM
8,General Ingredients,DRY STOCK,Salt,Kg,3kg,Brakes,ADD ITEM
9,General Ingredients,DRY STOCK,Cornflour,Kg,3.5kg,Brakes,BAKE-CORN-FLOR
10,General Ingredients,WET STOCK,Long Life Rapeseed Oil,l,20l,Brakes,ADD ITEM
11,General Ingredients,WET STOCK,Long Life Semi Skimmed Milk,l,1l,Brakes,SEMI-SKIM-MILK — Semi-Skimmed Milk
12,General Ingredients,WET STOCK,Whole Eggs,each,180,Brakes,DAIR-MEDM-EGGS
13,General Ingredients,WET STOCK,Egg Whites,Kg,1kg,Brakes,LIQD-EGG-WHIT — Liquid Egg White
14,General Ingredients,WET STOCK,Unsalted Butter,Kg,250g,Brakes,DAIR-UNSL-BUTR
15,General Ingredients,WET STOCK,Stork,Kg,2kg,Brakes,STOR-BUTR-ALTN
16,General Ingredients,WET STOCK,Cream Cheese,Kg,2kg,Brakes,ADD ITEM
17,General Ingredients,WET STOCK,Frozen Fruits,Kg,1kg,Brakes,FRUT-FORE-MIX
18,General Ingredients,CHOCOLATE,White Chocolate,Kg,12kg,JM Posner,ADD ITEM
19,General Ingredients,CHOCOLATE,Milk Chocolate,Kg,12kg,JM Posner,MILK-CHOC-COUV — Milk Chocolate (Couverture)
20,General Ingredients,CHOCOLATE,Dark Chocolate,Kg,10kg,JM Posner,DARK-CHOC-COUV — Dark Chocolate (Couverture)
21,General Ingredients,DIETARIES,GF Plain Flour,Kg,5kg,Brakes,ADD ITEM
22,General Ingredients,DIETARIES,GF Self Raising Flour,Kg,5kg,Brakes,ADD ITEM
23,General Ingredients,DIETARIES,GF Baking Powder,Kg,500g,Brakes,ADD ITEM
24,General Ingredients,DIETARIES,Aquafaba - Oggs,l,1Ltr,Brakes,ADD ITEM
25,General Ingredients,DIETARIES,Long Life Soya Milk,l,1l,Brakes,DAIR-SOYA-MILK — Soya Milk
26,General Ingredients,DIETARIES,Long Life Oat Milk,l,1l,Brakes,DAIR-OAT-MILK — Oat Milk
27,General Ingredients,DIETARIES,Vegan Double Cream,l,1l,Brakes,ADD ITEM
28,General Ingredients,DIETARIES,Vegan (sheese) Cream Cheese,Kg,255g,Brakes,ADD ITEM
29,General Ingredients,DIETARIES,Vegan White Chocolate,Kg,2g,JM Posner,ADD ITEM
30,General Ingredients,DIETARIES,Vegan Milk/dark Chocolate,Kg,2kg,JM Posner,ADD ITEM
31,General Ingredients,FONDANT,White Fondant,Kg,10kg,Culpitt,BAKE-FOND-WHIT
32,General Ingredients,FONDANT,Black Fondant,Kg,10kg,Culpitt,BAKE-FOND-BLAK
33,General Ingredients,FONDANT,Red Fondant,Kg,10kg,Culpitt,BAKE-FOND-RED
34,General Ingredients,FONDANT,Pink Fondant,Kg,10kg,Culpitt,BAKE-FOND-PINK
35,General Ingredients,FONDANT,Yellow Fondant,Kg,10kg,Culpitt,BAKE-FOND-YELW
36,General Ingredients,FONDANT,Orange Fondant,Kg,10kg,Ren,BAKE-FOND-ORNG
37,General Ingredients,FONDANT,Blue Fondant,Kg,10kg,Culpitt,BAKE-FOND-BLUE
38,General Ingredients,FONDANT,Green Fondant,Kg,10kg,Culpitt,BAKE-FOND-GREN
39,General Ingredients,FONDANT,brown fondant,Kg,250g,culpitt,ADD ITEM
40,Creation Corner Ingredients,Essences,Vanilla,l,500ml,,BAKE-ESSN-VANL — Vanilla Essence
41,Creation Corner Ingredients,Essences,Lemon,l,500ml,,BAKE-ESSN-LEMN
42,Creation Corner Ingredients,Essences,Almond,l,500ml,,BAKE-ESSN-ALMD
43,Creation Corner Ingredients,Essences,Coffee,l,500ml,,BAKE-ESSN-COFF — Coffee Essence
44,Creation Corner Ingredients,Essences,Banana,l,500ml,,BAKE-ESSN-BANA — Banana Essence
45,Creation Corner Ingredients,Essences,Raspberry,l,500ml,,PROD-RASP-BERY
46,Creation Corner Ingredients,Essences,Strawberry,l,500ml,,BAKE-ESSN-STRW
47,Creation Corner Ingredients,Essences,Blackberry,l,500ml,,PROD-BLAK-BERY
48,Creation Corner Ingredients,Essences,Orange Blossom,l,500ml,,BAKE-ESSN-ORBL — Orange Blossom Essence
49,Creation Corner Ingredients,Essences,Mango,l,500ml,,BAKE-ESSN-MANG
50,Creation Corner Ingredients,Essences,Black Cherry,l,500ml,,BAKE-ESSN-BLCH — Black Cherry Essence
51,Creation Corner Ingredients,Essences,Butterscotch,l,500ml,,BAKE-ESSN-BTSC — Butterscotch Essence
52,Creation Corner Ingredients,Essences,Elderflower,l,500ml,,BAKE-ESSN-ELDR — Elderflower Essence
53,Creation Corner Ingredients,Essences,Rum & Raisin,l,500ml,,BAKE-ESSN-RMRS — Rum & Raisin Essence
54,Creation Corner Ingredients,Essences,Caramel,l,500ml,,BAKE-ESSN-CARA — Caramel Essence
55,Creation Corner Ingredients,Spices/Powders,Cinnamon,Kg,450g,,ADD ITEM
56,Creation Corner Ingredients,Spices/Powders,Ginger,Kg,450g,,ADD ITEM
57,Creation Corner Ingredients,Spices/Powders,Dessicated Coconut,Kg,2kg,,BAKE-DESI-COCO
58,Creation Corner Ingredients,Spices/Powders,Cocoa Powder,Kg,500g,,BAKE-COCO-POWD
59,Creation Corner Ingredients,Nuts,Hazelnuts,Kg,1kg,,NUTS-WHOL-HAZL — Whole Hazelnuts
60,Creation Corner Ingredients,Nuts,Walnuts,Kg,1kg,,NUTS-WALN-PIEC — Walnut Pieces
61,Creation Corner Ingredients,Nuts,Flaked Almonds,Kg,1kg,,BAKE-FLAK-ALMD
62,Creation Corner Ingredients,Nuts,Chopped Pistachio,Kg,1kg,,ADD ITEM
63,Creation Corner Ingredients,Sweets,Jelly Beans,Kg,3kg,,SWET-JELY-BEAN
64,Creation Corner Ingredients,Sweets,Chocolate Beans,Kg,5kg,,ADD ITEM
65,Creation Corner Ingredients,Sweets,Oreo Crumb,Kg,1kg,,ADD ITEM
66,Creation Corner Ingredients,Sweets,Biscoff Crumb,Kg,750g,,BAKE-BISC-CRUM
67,Creation Corner Ingredients,Sweets,Skittles,Kg,1.6kg,,ADD ITEM
68,Creation Corner Ingredients,Sweets,Pretzels,Kg,1kg,,ADD ITEM
69,Creation Corner Ingredients,Sprinkles,Green Confetti,Kg,4kg,,ADD ITEM
70,Creation Corner Ingredients,Sprinkles,Rainbow Sprinkles,Kg,12.5kg,,ADD ITEM
71,Creation Corner Ingredients,Sprinkles,Silver Pearl Mix,Kg,5kg,,ADD ITEM
72,Creation Corner Ingredients,Sprinkles,mini eggs,Kg,3kg,,ADD ITEM
73,Creation Corner Ingredients,Sprinkles,Sprinkletti Frosty,Kg,5kg,,ADD ITEM
74,Creation Corner Ingredients,Sprinkles,Mother of Pearl,Kg,12.5kg,,ADD ITEM
