suggested_name,stock_item,category,group_id,sku,supplier,pack_size,sheet
"8"" Parchment Circles","100 Pcs Baking Parchment Circles, 8 Inch Round Cake Liners Baking Parchment Circles Baking Paper for Round Cake Tin Air Fryer Springform Cake Tin Tortilla Press",equipment,4,B09B4XC389,Amazon,,Sheet1
"8"" Parchment Circles","8"" Round Plain Greaseproof Paper",equipment,4,19P-GRR08,Culpitt,1000,Sheet1
"8"" Parchment Circles","8 Inch Baking Parchment Circles, Set of 100, 7/9/10/12inch Cake Tin Liners Available, Round Parchment Papers for Springform Cake Tin, Pizza Maker, Tortilla Press and More",equipment,4,B08HVC5HBG,Amazon,Set of 100,Sheet1
A4 Laminating Pouches,"120 Sheets Deskit Laminating Pouches A4, Gloss, 150 Microns - Clear and Durable Presentations - Ideal Rigidity for Everyday Use",equipment,7,,Amazon,120 Sheets,Sheet1
A4 Laminating Pouches,"120 Sheets Deskit Laminating Pouches A4, Gloss, 150 Microns - Clear and Durable Presentations - Ideal Rigidity for Everyday Use",equipment,7,B0170BUOCA,Amazon,,Sheet1
Till Rolls,"20 Rolls of Premium 80 x 80mm Thermal Paper Till Rolls, Receipt for EPOS POS, Cash Register, Credit Card Machine PDQ, for Epson Citizen Printer",equipment,18,TH243 CBM232 CBM233 CBM253,Amazon,20 Rolls,Sheet1
Till Rolls,"20 Rolls of Premium 80 x 80mm Thermal Paper Till Rolls, Receipt for EPOS POS, Cash Register, Credit Card Machine PDQ, for Epson Citizen Printer TH243 CBM232 CBM233 CBM253",equipment,18,,Amazon,20 Rolls,Sheet1
"6"" Parchment Circles","200 Pcs Baking Parchment Circles, 6 Inch Cake Liner Parchment CirclesRound Parchment Paper Cake Tin Liners for Round Cake Tin Air Fryer Springform Tortilla Press",equipment,19,B09B4WSWGC,Amazon,,Sheet1
"6"" Parchment Circles","6"" Round Plain Greaseproof Paper",equipment,19,19P-GRR06,Culpitt,1000,Sheet1
"21"" Piping Bags","18"" Blue High Grip Savoy Piping Bags - Required:",equipment,21,BAGS0001,Cater 4 You,Box of 500,Sheet1
"21"" Piping Bags","21"" Stronghold Disposable Piping Bags",equipment,21,25100021,Cater 4 You,Box of 500,Sheet1
"21"" Piping Bags","21"" Stronghold Disposable Piping Bags",equipment,21,,Cater 4 You,Box of 500,Sheet1
"21"" Piping Bags","21"" Stronghold Disposable Piping Bags",equipment,21,25100021,Cater for you,Box of 500,Sheet1
"21"" Piping Bags","21"" Stronghold Disposable Piping Bags - Box / Case",equipment,21,,Cater 4 You,,Sheet1
"21"" Piping Bags","21"" Stronghold Disposable Piping Bags - Required:",equipment,21,25100021,Cater 4 You,Box of 500,Sheet1
"21"" Piping Bags","21"" Stronghold Disposable Piping Bags - Required:",equipment,21,25100021,Cater for you,Box of 500,Sheet1
"21"" Piping Bags","21"" Stronghold Disposable Piping Bags - Required: Box",equipment,21,25100021,Cater for you,Box of 500,Sheet1
"21"" Piping Bags","21"" Stronghold Disposable Piping Bags - Required: Box of 500",equipment,21,25100021,Cater for you,Box of 500,Sheet1
"21"" Piping Bags","21"" Stronghold Disposable Piping Bags - Required: Box of 500",equipment,21,,Cater 4 You,Box of 500,Sheet1
"21"" Piping Bags","21"" Stronghold Disposable Piping Bags - Required: Roll of 100",equipment,21,25100021-C4U,Cater for you,Roll of 100,Sheet1
"21"" Piping Bags","21"" Stronghold Disposable Piping Bags: Roll of 100",equipment,21,25100021-C4U,Cater for you,Roll of 100,Sheet1
"21"" Piping Bags",Blue Piping Bag,equipment,21,A 20954,Brakes,1 x 100,Sheet1
"21"" Piping Bags",Blue Piping Bag,equipment,21,A20954,Brakes,1 x 100,Sheet1
"21"" Piping Bags",Blue Piping Bag 003 21inch,equipment,21,20954,Brakes,1x100,Sheet1
"21"" Piping Bags",Blue Piping Bag 003 21inch,equipment,21,A 20954,Brakes,1X100EA,Sheet1
"21"" Piping Bags","Blue Piping Bag 20""",equipment,21,A 20954,Brakes,1 x 100,Sheet1
"21"" Piping Bags","Blue Piping Bag 20""",equipment,21,A20954,Brakes,1 x 100,Sheet1
"21"" Piping Bags","Bakery Direct 100% Recyclable 21"" Savoy Piping Bags",equipment,21,,Amazon,x 100,Sheet1
"21"" Piping Bags","Bakery Direct 100% Recyclable 21"" Savoy Piping Bags",equipment,21,B07YL17367,Amazon,x 100,Sheet1
Black Edible Markers,"3 Pack Black Edible Ink Markers Set, Food-Grade Baking Tools for Cake Decorating, Cookies, Frosting & Fondant, Dual Tip Fine & Thick Food Coloring Pens, Safe for Home & Professional Bakers",equipment,25,B0F9W5W1T6,Amazon,3 Pack,Sheet1
Black Edible Markers,"3pcs Black Edible Markers,Dual-ended Fondant Decorating Pen, Safe Food Drawing Tool for Creative Family Bonding, Professional Cake Design",equipment,25,FANWINKJ,Amazon,,Sheet1
Black Edible Markers,"Black Edible Markers,Dual-ended Fondant Decorating Pen, Safe Food Drawing Tool for Creative Family Bonding, Professional Cake Design",equipment,25,FANWINKJ,Amazon,,Sheet1
A4 Coloured Paper (Light Blue),"50 Sheets A4 Coloured Paper, 70g Light Blue Printer Paper for Office Printing Crafts Projects ASIN:B0FM862GKW",equipment,36,B0FM862GKW,Amazon,,Sheet1
