supplier,supplier_sku,description,pack_size,lines_seen,unit_cost_gbp,client_name,source,proposed_product,proposed_stock_code,alternatives,decision,new_product_name,new_stock_uom
Sysco,A70893,15 Dozen British Fresh Medium Eggs,1 x 180,6,39.25,Medium Eggs,none,,,,DAIR-MEDM-EGGS,Medium Eggs,each
Amazon,B09B4WSWGC,"200 Pcs 6 Inch Baking Parchment Circles for Cake Tins, Air Fryer",,4,5.69,"6"" Parchment Circles",client-sku,"6"" Parchment Circles",6IN-PARC-CIRC,,6IN-PARC-CIRC,"6"" Parchment Circles",each
Makro,503500,503500 Absolut Vodka Blue,6 70cl,3,89.89,Absolut Vodka,none,,,,SPIR-ABSL-VODK,Absolut Vodka,l
Amazon,B0H1PZJP2D,"8Pcs Fondant Tools, Cake Decorating & Modelling Set, Icing Sugar Clay Tools, Sculpting for Baking",,2,3.084,Icing Sugar,client-description,Icing Sugar,BAKE-ICNG-SUGR,,Y,Icing Sugar,each
Brakes,150847,A 150847 - Tate & Lyle Granulated Sugar 1 x 3kg,1 x 3kg,5,9.58,Granulated Sugar,client-description,Granulated Sugar,BAKE-GRAN-SUGR,,Y,Granulated Sugar,kg
Brakes,25412,A 25412 - KETTLE® Chips Sweet Chilli & Sour Cream 40g 18 x 40g,18 x 40g,6,9.65,Kettle Chips - Sweet Chilli,matched,Kettle Sweet Chilli,KETL-CHIP-SWCH,Sour Cream [DAIR-SOUR-CREM],Y,Kettle Chips - Sweet Chilli,kg
Brakes,88433,A 88433 - KETTLE® Lightly Salted 18x40g Crisps 18 x 40g,18 x 40g,10,9.65,Kettle Chips - Lightly Salted,matched,Kettle Salted,KETL-CHIP-SALT,,Y,Kettle Chips - Lightly Salted,kg
Makro,503510,Absolut Vodka Blue,1 70cl,4,14.49,Absolut Vodka,none,,,,SPIR-ABSL-VODK,Absolut Vodka,l
Booker,318639,Absolut Vodka PM1999,1 70cl,2,13.99,Absolut Vodka,none,,,,SPIR-ABSL-VODK,Absolut Vodka,l
LWC Drinks,49224858,ALMA DE CHILE MERLOT RES,75CL,3,7.99,Alma de Chile Merlot,none,,,,WINE-ALMA-MERL,Alma de Chile Merlot,l
Brakes,113654,ALPRO Soya For Professionals,1x1ltr,36,1.7,Soya Milk,none,,,,DAIR-SOYA-MILK,Soya Milk,l
Brakes,109618,"Alpro Soya Plant-Based Long Life Drink, Vegan & Dairy Free,",8 x 1ltr,2,11.61,Soya Milk,none,,,,DAIR-SOYA-MILK,Soya Milk,l
Brakes,128154,Alpro Soya Wholebean Unsweetened,8x1Ltr,10,13.13,Soya Milk,none,,,,DAIR-SOYA-MILK,Soya Milk,l
Brakes,149492,Ariel Professional Formula Pro Plus Powder,1 x 6.5kg,18,22.93,Ariel Laundry Powder,client-sku,Ariel Laundry Powder,ARIE-LAUN-POWD,,Y,Ariel Laundry Powder,kg
Brakes,19665,Arla Long Life UHT Semi Skimmed Milk 1L,12 x 1ltr,79,14.76,Semi-Skimmed Milk,matched,Long Life Semi Skimmed Milk,SEMI-SKIM-MILK,UHT Skimmed Milk [UHT-SKIM-MILK],Y,Semi-Skimmed Milk,l
Sysco,C19665,Arla Long Life UHT Semi Skimmed Milk 1L,12 x 1ltr,5,12.31,Semi-Skimmed Milk,matched,Long Life Semi Skimmed Milk,SEMI-SKIM-MILK,UHT Skimmed Milk [UHT-SKIM-MILK],Y,Semi-Skimmed Milk,l
Brakes,C 123028,Arla Long Life UHT Skimmed Milk,12 x 1ltr,2,16.02,UHT Skimmed Milk,client-sku,UHT Skimmed Milk,UHT-SKIM-MILK,,Y,UHT Skimmed Milk,l
Brakes,123027,Arla UHT Whole Milk,12x1ltr,42,16.68,Whole Milk,none,,,,ADD ITEM,UHT Whole Milk,l
Brakes,129497,Arran Fine Foods Caramelised Onion Chutney,1 x 2.35kg,9,12.66,Caramelised Onion Chutney,none,,,,ADD ITEM,Caramelised Onion Chutney,kg
Amazon,B0D6RLTKS8,"ASelected 50PCS Cake Dowels, Plastic Cake Dowels for Tiered Cakes, White Cake Support Rods Cake Dowel Rods for Tiered Cake Construction and Stacking Supporting - 1.2cm Diameter",24cm/9in,2,7.33,Cake Dowels,client-sku,Cake Dowels,BAKE-CAKE-DOWL,,Y,Cake Dowels,each
Brakes,5026322,Avogrande Guacamole,1 x 1kg,2,5.45,Guacamole,client-sku,Guacamole,FOOD-GUAC-MOLE,,Y,Guacamole,kg
Booker,191244,Bacardi Carta Blanca,1 1.5ltr,2,32.99,Bacardi Carta Blanca,none,,,,BACA-CART-BLAN,Bacardi Carta Blanca,l
Makro,191244,Bacardi Carta Blanca,1 1.5ltr,2,32.99,Bacardi Carta Blanca,none,,,,BACA-CART-BLAN,Bacardi Carta Blanca,l
Booker,292035,Bacardi Carta Blanca PM1799,1 70cl,5,12.69,Bacardi Carta Blanca,none,,,,BACA-CART-BLAN,Bacardi Carta Blanca,l
Makro,292035,Bacardi Carta Blanca PM1799,1 70cl,4,11.35,Bacardi Carta Blanca,none,,,,BACA-CART-BLAN,Bacardi Carta Blanca,l
LWC Drinks,33013147,BACARDI GOLD ORO 70CL,70CL,2,18.93,Bacardi Carta Oro,client-sku,Bacardi Carta Oro,BACA-CART-ORO,,BACA-GOLD-RUM,Bacardi Carta Oro,l
LWC Drinks,33010047,BACARDI RUM,70CL,5,16.9,Bacardi Carta Blanca,none,,,,BACA-CART-BLAN,Bacardi Carta Blanca,l
Brakes,152412,Ballygarvey 60 British Barn Eggs Med,1 x 60,2,11.4,Medium Eggs,none,,,,DAIR-MEDM-EGGS,Medium Eggs,each
Brakes,119649,Bar Mix Olives (Pitted),1x1kg,50,12.35,Pitted Mixed Olives,none,,,,ADD ITEM,Pitted Mixed Olives,kg
Brakes,A 146274,Baylis & Harding Jasmine & Apple Blossom Anti-Bacterial Hand Wash 500ml,3 x 500ml,4,4.4,Antibacterial Hand Wash,client-sku,Antibacterial Hand Wash,ANTI-HAND-WASH,,Y,Antibacterial Hand Wash,l
Brakes,133732,Baylis & Harding Jasmine & Apple Blossom Hand Wash,1 x 5ltr,21,10.14,Antibacterial Hand Wash,client-sku,Antibacterial Hand Wash,ANTI-HAND-WASH,,Y,Antibacterial Hand Wash,l
Makro,232387,Birra Moretti NRB UK,24 330ml,20,21.49,Birra Moretti,matched,Birra Moretti Nrb,BEER-BIRR-MORE,,Y,Birra Moretti,each
Booker,232387,Birra Moretti NRB UK,24 330ml,13,21.49,Birra Moretti,matched,Birra Moretti Nrb,BEER-BIRR-MORE,,Y,Birra Moretti,each
Brakes,20954,"Blue Piping Bag 20""",1 x 100,8,19.66,"21"" Piping Bags",client-sku,"21"" Piping Bags",21IN-PIPE-BAGS,,Y,"21"" Piping Bags",each
LWC Drinks,51301149,BOTTLE GREEN ELDERF CORDIAL,50CL,4,3.99,Elderflower Cordial,client-sku,Elderflower Cordial,SOFT-ELDR-CORD,,Y,Elderflower Cordial,l
Brakes,87800,Bottlegreen Elderflower Cordial,6 x 500ml,14,16.72,Elderflower Cordial,client-sku,Elderflower Cordial,SOFT-ELDR-CORD,Elderflower [BAKE-ESSN-ELDR],Y,Elderflower Cordial,l
Brakes,133562,Brake Essen Leek & Emmental Slab,4x1kg,8,23.07,Leek & Emmental Quiche,client-sku,Leek & Emmental Quiche,LEEK-EMME-QUIC,,Y,Leek & Emmental Quiche,kg
Brakes,136376,Brake Essentials Degreaser,6X750ML,6,10.28,Kitchen Degreaser,client-sku,Kitchen Degreaser,CLEN-KITC-DEGR,,Y,Kitchen Degreaser,l
Brakes,129077,Brake Porcini Mushroom Arancini,40x35g,38,22.85,Porcini Mushroom Arancini,matched,Mushroom Arancini,PORC-MUSH-ARAN,,Y,Porcini Mushroom Arancini,kg
Brakes,5021212,Brakes 2Ply 32cm White Napkin,3 x 200,5,8.49,White Napkins,matched,"White Napkins (16"")",WHIT-NAPK-16IN,Napkins [PACK-WHIT-NAPK],Y,White Napkins,each
Sysco,A301,Brakes Caster Sugar,1 x 25kg,6,26.33,Caster Sugar,client-sku,Caster Sugar,BAKE-CAST-SUGR,,Y,Caster Sugar,kg
Brakes,105956,Brakes Crisp Puffed Rice,8 x 600g,8,22.18,Puffed Rice,client-sku,Puffed Rice,BAKE-PUFF-RICE,Crisps [CRIS],Y,Puffed Rice,kg
Brakes,34031,Brakes Demerara Sugar Sticks,1 x 1000,5,9.16,Demerara Sugar Sticks,client-sku,Demerara Sugar Sticks,DEME-SUGR-STIK,Demerara Sugar [BAKE-DEME-SUGR],Y,Demerara Sugar Sticks,each
Brakes,136385,Brakes Essentials Air Freshener,6 x 750ml,2,9.44,Air Freshener,client-sku,Air Freshener,CLEN-AIR-FRSH,,Y,Air Freshener,l
Sysco,A136380,Brakes Essentials Antibacterial Hand Wash,2 x 5ltr,2,9.49,Antibacterial Hand Wash,client-sku,Antibacterial Hand Wash,ANTI-HAND-WASH,,Y,Antibacterial Hand Wash,l
Brakes,136708,Brakes Essentials Dishwasher Detergent,2 x 5ltr,8,12.87,Dishwasher Detergent,client-sku,Dishwasher Detergent,CLEN-DISH-DETG,,Y,Dishwasher Detergent,l
Brakes,133561,Brakes Essentials Fully Baked Tomato & Cheese Quiche Slabs,4 x 1kg,9,22.18,Tomato & Cheese Quiche,client-sku,Tomato & Cheese Quiche,TOMA-CHEE-QUIC,Tomato & Cheese Quiche [TOMA-CHEE-QUIC],Y,Tomato & Cheese Quiche,kg
