supplier,supplier_sku,description,pack_size,lines_seen,unit_cost_gbp,client_name,source,proposed_product,proposed_stock_code,alternatives,decision,new_product_name,new_stock_uom
Brakes,11127,Wholesome Farms Unsalted Butter,40x250g,158,58.51,Unsalted Butter,client-sku,Unsalted Butter,DAIR-UNSL-BUTR,,,Unsalted Butter,kg
Brakes,135575,Noble Free Range Liquid Egg White,1x1kg,123,3.88,Liquid Egg White,matched,Egg Whites,LIQD-EGG-WHIT,,,Liquid Egg White,kg
Brakes,113879,Herb Bunched Basil,1x100g,80,2.03,Fresh Basil,matched,Basil,PROD-FRSH-BASL,,,Fresh Basil,kg
Brakes,19665,Arla Long Life UHT Semi Skimmed Milk 1L,12 x 1ltr,79,14.76,Semi-Skimmed Milk,matched,Long Life Semi Skimmed Milk,SEMI-SKIM-MILK,UHT Skimmed Milk [UHT-SKIM-MILK],,Semi-Skimmed Milk,l
Brakes,10230,Cucumber Single BB,1xEach,76,0.72,,matched,Cucumber,PROD-CUCU-MBER,,,Cucumber Single BB,each
Brakes,8823,Brakes Pistachio Kernels,1x1kg,68,30.69,Pistachio Kernels,client-sku,Pistachio Kernels,NUTS-PIST-KERN,,,Pistachio Kernels,kg
Brakes,128306,Oatly Oat Drink Barista Editn,6x1ltr,67,10.77,Oat Milk,none,,,,,Oat Milk,l
Brakes,26089,Vinyl Gloves Clear Lge PF GD09L,1x100,66,6.89,,none,,,,,Vinyl Gloves Clear Lge PF GD09L,l
Brakes,22053,Sysco Classc Mozz Shredded Cheese,1x2kg,54,11.07,Cheese (unspecified),client-description,Cheese (unspecified),CHEE-UNSP-ONE,,,Cheese (unspecified),kg
Brakes,120087,Lamb Mini Potato Puffs,1x1kg,53,3.68,,none,,,,,Lamb Mini Potato Puffs,kg
Brakes,119649,Bar Mix Olives (Pitted),1x1kg,50,12.35,Pitted Mixed Olives,none,,,,,Pitted Mixed Olives,kg
Brakes,151207,Nestlé Shredded Wheat,5 x 16,50,14.69,,none,,,,,Nestlé Shredded Wheat,each
Brakes,10678,Freshers Fat Reduced Cocoa Powder,1 x 500g,48,8.51,Cocoa Powder,client-description,Cocoa Powder,BAKE-COCO-POWD,,,Cocoa Powder,kg
Brakes,123027,Arla UHT Whole Milk,12x1ltr,42,16.68,Whole Milk,none,,,,,Whole Milk,l
Brakes,10364,Red Cherry Tomatoes,250g,41,0.83,Cherry Tomatoes,client-description,Cherry Tomatoes,PROD-CHER-TOMA,Tomatoes [PROD-TOMA],,Cherry Tomatoes,kg
Brakes,133678,Dr Oetker Cocoa Powder,1x1kg,40,15.04,Cocoa Powder,client-description,Cocoa Powder,BAKE-COCO-POWD,,,Cocoa Powder,kg
Brakes,129077,Brake Porcini Mushroom Arancini,40x35g,38,22.85,Porcini Mushroom Arancini,matched,Mushroom Arancini,PORC-MUSH-ARAN,,,Porcini Mushroom Arancini,kg
Brakes,29548,Large Blue Vinyl Gloves Powder Free,1 x 100,37,7.09,Blue Vinyl Gloves - Large,client-description,Blue Vinyl Gloves - Large,BLUE-VINY-GLVL,,,Blue Vinyl Gloves - Large,l
Brakes,10265,Grapes White Seedless,500g,36,2.29,,none,,,,,Grapes White Seedless,kg
Brakes,10266,Red / Black Seedless Grapes,500g,36,2.34,,matched,Red Grapes,PROD-RED-GRAP,,,Red / Black Seedless Grapes,kg
Brakes,113654,ALPRO Soya For Professionals,1x1ltr,36,1.7,Soya Milk,none,,,,,Soya Milk,l
Brakes,27544,Sysco Classc Grt Mild White Cheddr,1x1kg,36,6.99,Grated Mild White Cheese,client-description,Grated Mild White Cheese,GRAT-MILD-CHEE,,,Grated Mild White Cheese,kg
Culpitt,21M-TFWH10,SUGAR PASTE-M&B-WHITE,4 x 2.5kg,35,33.26,,none,,,,,SUGAR PASTE-M&B-WHITE,kg
Brakes,2926,Brakes Walnut Pieces,1x1kg,34,12.39,Walnut Pieces,matched,Walnuts,NUTS-WALN-PIEC,,,Walnut Pieces,kg
Brakes,5946,Sysco Classic Cornflour,1x3.5kg,34,11.14,Cornflour,client-sku,Cornflour,BAKE-CORN-FLOR,,,Cornflour,kg
Brakes,16191,Sysco Classic Sliced Salt Beef,1x1kg,31,32.72,,matched,Salt Beef,SALT-BEEF,Salt [SALT],,Sysco Classic Sliced Salt Beef,kg
Brakes,591129,Shield Rubb Glove Blue Sml OC119318,1x12,30,6.09,,none,,,,,Shield Rubb Glove Blue Sml OC119318,each
Brakes,86874,Preema Vanilla Essence,1 x 500ml,30,5.45,,matched,Vanilla,BAKE-ESSN-VANL,,,Preema Vanilla Essence,l
Brakes,10262,Small Oranges,1 x 10,28,2.49,,matched,Orange,ORAN,Oranges [ORAN-2],,Small Oranges,each
Brakes,126887,eGreen Red Paper Barber Straw,1 x 250,28,3.21,,none,,,,,eGreen Red Paper Barber Straw,each
Makro,282673,Diet Coke Can,24 330ml,28,10.79,Diet Coke Cans,none,,,,,Diet Coke Cans,l
Brakes,149979,Grilly Sandwich Focaccia Pre-Sliced,1x36,27,23.07,,none,,,,,Grilly Sandwich Focaccia Pre-Sliced,each
Brakes,4617,Brakes Whole Hazelnuts,1x1kg,27,13.89,Whole Hazelnuts,matched,Hazelnuts,NUTS-WHOL-HAZL,,,Whole Hazelnuts,kg
Makro,282574,Coca Cola Can,24 330ml,27,13.29,Coca-Cola Cans,client-sku,Coca-Cola Cans,SOFT-COKE-CANS,Coca Cola [SOFT-COKE-BOTL],,Coca-Cola Cans,l
