supplier,supplier_sku,aliases,description,pack_size,base_unit,unit_cost_gbp,lines_seen,last_seen,min_confidence,reason
Amazon,B0002VA9NA,,Quakehold! 88111 Museum Putty Neutral,,,6.79,1,2026-09-07,0.90,seen only once in the captured window
Amazon,B000IU40HQ,,HG Mould Remover Spray | Kills Black Mold & Mildew on Walls & Tiles,500ml,L,5.38,1,2026-08-01,0.95,seen only once in the captured window
Amazon,B002YBHS1M,,Skittles Vending Bag,1.6kg,kg,11.98,3,2026-08-07,0.90,seen with 2 different pack sizes (1.6kg; 1.6kgbag)
Amazon,B003UHEVKK,,Adastra | Stereo Speakers Supplied In Pairs | 60W Max | Black,,,30,1,2026-08-19,0.95,seen only once in the captured window
Amazon,B004DPDO9M,,Safety First Aid HypaPlast Assorted Pack of 100 Metal Detectable Plasters,Pack of 100,,3.72,1,2026-08-11,0.90,seen only once in the captured window
Amazon,B0074JDF52,,"Genware Optima Safe Probe Wipes, Fabric, Blue, Pack of 200",Pack of 200,,6.59,1,2026-08-22,0.90,seen only once in the captured window
Amazon,B007TKICU4,,"Hygiplas LDPE Low Density Chopping Board Set, 455x305mm,",12x455x305mm,,21.59,1,2026-09-06,0.95,seen only once in the captured window
Amazon,B008E7L5AK,,Preema Lemon Essence,500ml,L,8.3,1,2026-08-16,0.95,seen only once in the captured window
Amazon,B00GAGLU6G,,Preema Vanilla Essence,500ml,L,6.89,1,2026-08-16,0.90,seen only once in the captured window
Amazon,B00VEBBQV6,,Puly Caff Coffee Cleaning Powder,2 Tubs of 900g,kg,21.47,1,2026-08-23,0.95,seen only once in the captured window
Amazon,B015HE6HJG,,"vacspare For Numatic Henry Vacuum Cleaner Tool Kit With 2.5m Hose, Brushes & 10 Hoover Bags",,,20.95,1,2026-08-10,0.95,seen only once in the captured window
Amazon,B01FSGVN4M,,"Amazon Basics Multi-Purpose Copy Printer Paper, A4 80 GSM, 2500 Count, White",Pack of 5,,17.99,1,2026-08-10,0.90,seen only once in the captured window
Amazon,B01MURLV9K,,Sharpie Permanent Markers | Fine Point for Bold Details | Black Ink | Marker Pens,12,,5.88,1,2026-09-09,0.99,seen only once in the captured window
Amazon,B01N20MRSK,,"Schwartz Sriracha Seasoning, Hot, Artificial Colours & Flavours Free,",320g,kg,6.38,1,2026-09-02,0.95,seen only once in the captured window
Amazon,B071F53VKR,,"Stronghold 21"" Blue Disposable Piping Bags",100 Bags / 1 Roll,,9.95,1,2026-08-29,0.95,seen only once in the captured window
Amazon,B07431BT96,,"General Medi 210 Piece First Aid Kit- Emergency kit - Reflective Design - Includes Ice(Cold) Pack, Moleskin Pad and Emergency Blanket for Travel, Home, Office, Car, Workplace & Outdoor",,,13.97,1,2026-08-15,0.90,seen only once in the captured window
Amazon,B075HC7BW8,,"General Medi 160 Piece First Aid Kit Bag Refill Kit - Includes Instant Cold Pack, Bandages, Emergency Blanket, Moleskin Pad, Gauze - Extra Replacement Medical Supplies for First Aid",,,15.55,1,2026-09-10,0.95,seen only once in the captured window
Amazon,B075JX653F,,"Hylabelest USE First Trilingual Removable Label 1.5 Inch Total 500 Labels Per Roll (1, Orange, 38mm)",,,6.64,1,2026-08-11,0.95,seen only once in the captured window
