supplier,supplier_sku,aliases,description,pack_size,base_unit,unit_cost_gbp,lines_seen,last_seen,min_confidence
Amazon,B01HH1HLVK,,"Deskit Laminating Pouches A4, Glossy, 120 Sheets, 100 Microns - Clear and Durable Presentations - Flexible Rigidity for Everyday Use",120 Sheets,,9.2,2,2026-08-29,0.95
Amazon,B07TCN2G1R,,"Vytronix Powerful Electric Pressure Washer 1400W | Jet Wash | High-Performance Power Cleaner for Car, Home, Patio and Garden Furniture 105 Bar Water Jet Yellow",,,59.99,2,2026-08-04,0.90
Amazon,B07TJT135V,,"Mattel Uno Original and Uno Flip Card Games, Combo Pack of 2",Pack of 2,,7.7267,2,2026-08-06,0.90
Amazon,B09B4WSWGC,,"200 Pcs 6 Inch Baking Parchment Circles for Cake Tins, Air Fryer",,,5.69,4,2026-09-04,0.95
Amazon,B0BVM7QVQ7,,TooGet Fragrant Natural Jasmine Buds Pure Dried Jasmine Flowers Wholesale Herbal Tea,2 OZ (60g),kg,7.8833,2,2026-09-02,0.90
Amazon,B0C5WYRPM6,,"The Chic Way 40 Pcs Hair Bobbles, Elastic Hair Bands, Black Hair Ties, 4mm",,,5.688,2,2026-08-18,0.90
Amazon,B0D5HX79T5,,Salted Pretzels - Original Salty Flavour Mini Pretzel with Sea Salt Flavoured Oven Baked Brezels Bretzels Crunchy Party Snack - Large Bulk Big Sharing Bag Snacks (Packaging May Vary) Vegan PURIMA,1kg,kg,19.99,2,2026-08-30,0.95
Amazon,B0D6RLTKS8,,"ASelected 50PCS Cake Dowels, Plastic Cake Dowels for Tiered Cakes, White Cake Support Rods Cake Dowel Rods for Tiered Cake Construction and Stacking Supporting - 1.2cm Diameter",24cm/9in,,7.33,2,2026-08-11,0.90
Amazon,B0H1PZJP2D,,"8Pcs Fondant Tools, Cake Decorating & Modelling Set, Icing Sugar Clay Tools, Sculpting for Baking",,,3.084,2,2026-08-01,0.90
Amazon,B0HCVPLX9T,,"Thinp 15 Pcs Thin Elastic Headbands, Colorful Sports Headband for Women Men",,,6.79,2,2026-09-03,0.95
Amazon,CF975,,"Jantex Commercial Washing Up Liquid Concentrate, Green",5 Litre,L,7.19,4,2026-09-04,0.90
Booker,063724,,Coke Zero,24 330ml,L,10.95,10,2026-09-02,0.90
Booker,077549,,Strathmore Still Glass,24 330ml,L,10.89,5,2026-09-02,0.90
Booker,083358,,Kopparberg Mixed Fruit Cider,15 500ml,L,25.49,5,2026-08-12,0.90
Booker,083674,,Sunpride Orange Juice,12 1ltr,L,14.49,5,2026-08-05,0.90
Booker,083676,,Sunpride Cranberry Juice,12 1ltr,L,11.79,2,2026-05-27,0.90
Booker,083677,,Sunpride Apple Juice,12 1ltr,L,13.89,5,2026-08-19,0.90
Booker,092709,,Fever Tree Prem Soda Water,24 200ml,L,16.85,21,2026-09-08,0.90
Booker,101250,,Sunpride Pure Pineapple Jce,12 1ltr,L,20.29,6,2026-09-02,0.90
Booker,108081,,Kopparberg Strbry&Lime Cider,15 500ml,L,25.49,5,2026-08-12,0.90
Booker,117453,,Funkin Strawberry Puree,5 1kg,kg,39.39,2,2026-07-22,0.95
Booker,117533,,Funkin White Peach Puree,5 1kg,kg,39.39,4,2026-09-02,0.90
Booker,117539,,Funkin Raspberry Puree,5 1kg,kg,58.89,5,2026-07-22,0.90
Booker,118657,,Aperol,6 70cl,L,71.94,3,2026-09-02,0.90
Booker,118658,,Aperol,1 70cl,L,11.99,14,2026-09-08,0.90
Booker,125145,,Eager Cloudy Prsd Apple Jce,8 1ltr,L,18.35,2,2026-08-05,0.90
Booker,135253,,Corona Extra NRB 4.5%,24 330ml,L,23.99,14,2026-09-05,0.90
Booker,148127,,Lime Puree Funkin,5 1kg,kg,39.39,5,2026-09-02,0.90
Booker,168776,,CL Medium Eggs,1 180,,31.99,6,2026-06-01,0.90
Booker,191244,,Bacardi Carta Blanca,1 1.5ltr,L,32.99,2,2026-08-25,0.95
Booker,232387,,Birra Moretti NRB UK,24 330ml,L,21.49,13,2026-08-27,0.90
Booker,234004,,F/Tree Refrshly Lgt GingerBr,24 200ml,L,16.85,3,2026-08-19,0.93
Booker,238194,,Kopparberg Non Alcohol S/bry,8 500ml,L,9.89,3,2026-07-22,0.95
Booker,261603,,White Claw Seltzer Cherry,12 330ml,L,15.99,2,2026-06-17,0.90
Booker,268555,,Kahlua Coffee Liqueur,1 70cl,L,13.39,4,2026-08-12,0.90
Booker,274529,,Silver Spoon Caster Sugar,1 25kg,kg,25.99,2,2026-06-27,0.90
Booker,274833,,Corona Cero NRB,6 4x330ml,L,18.69,2,2026-07-08,0.93
Booker,275297,,Cointreau,1 70cl,L,18.99,8,2026-09-08,0.90
Booker,275372,,Stork,6 2kg,kg,43.99,3,2026-07-04,0.90
Booker,275994,,Olmeca Silver Tequila,1 70cl,L,20.19,9,2026-08-27,0.90
Booker,279322,,Peroni Nastro Azzurro,24 330ml,L,22.49,15,2026-08-27,0.90
Booker,282574,,Coca Cola Can,24 330ml,L,13.29,15,2026-09-08,0.90
Booker,282673,,Diet Coke Can,24 330ml,L,10.79,12,2026-08-12,0.90
Booker,288295,,Diet Coke PM90,24 330ml,L,9.69,2,2026-09-08,0.90
Booker,292035,,Bacardi Carta Blanca PM1799,1 70cl,L,12.69,5,2026-07-15,0.93
Booker,302784,,CTS PVC ClingFilm 300Mx450mm,1 Sgl,,9.99,2,2026-08-12,0.93
Booker,302788,,CTS BakingParchment50Mx450mm,9 Sgl,,73.99,5,2026-09-02,0.90
Booker,318639,,Absolut Vodka PM1999,1 70cl,L,13.99,2,2026-07-15,0.93
Booker,319485,,Pimms No 1 22% ABV,1 70cl,L,11.99,7,2026-08-19,0.90
Booker,483860,,CL Self Raising Flour,4 3kg,kg,11.55,2,2026-09-05,0.90
Booker,533927,,R Whites Lemonade,24 330ml,L,9.29,13,2026-09-08,0.90
Brakes,100243,"A 100243, A100243",Brakes The Juice Orange,12x1ltr,L,16.99,8,2026-09-04,0.90
Brakes,100244,A 100244,The Juice Apple Juice,12 x 1ltr,L,14.55,4,2026-03-23,0.90
Brakes,100245,"A 100245, A100245",Brakes The Juice Pineapple,12x1ltr,L,23.65,5,2026-09-04,0.90
Brakes,100498,A 100498,Fruit Shoot Apple & Blackcurrant Kids Juice Drink,24 x 275ml,L,13.99,2,2026-08-10,0.90
Brakes,100501,A 100501,Fruit Shoot Orange Kids Juice Drink,24 x 275ml,L,13.99,2,2026-08-10,0.90
Brakes,102240,A 102240,Sysco Classic Double Strength Apple & Blackcurrant Squash No Added Sugar,1 x 5ltr,L,6.29,3,2026-04-27,0.90
Brakes,10230,"C 10230, C10230",Cucumber Single BB,1xEach,,0.72,76,2026-09-11,0.80
Brakes,10262,"C 10262, C10262",Small Oranges,1 x 10,each,2.49,28,2026-09-07,0.80
Brakes,102622,"A 102622, A102622",Carters Star 2L Lemonade,8 x 2ltr,L,6.29,4,2026-04-29,0.90
Brakes,10265,"C 10265, C10265",Grapes White Seedless,500g,kg,2.29,36,2026-09-11,0.90
Brakes,10266,"C 10266, C10266",Red / Black Seedless Grapes,500g,kg,2.34,36,2026-09-11,0.90
Brakes,103550,C 103550,Seasonal Salad Mix,1 x 250g,kg,1.73,2,2026-03-18,0.90
Brakes,103557,"C 103557, C103557",Salad Mix,1 x 250g,kg,1.69,19,2026-09-09,0.90
Brakes,10364,"C 10364, C10364",Red Cherry Tomatoes,250g,kg,0.83,41,2026-09-11,0.90
Brakes,10417,C 10417,Prepared Baton Carrots,1 x 2.5kg,kg,4.91,7,2026-09-01,0.90
Brakes,104220,A 104220,Fairy Professional Washing Up Liquid Original,2 x 5L,L,28.69,2,2026-04-22,0.90
Brakes,10465,A 10465,Tate & Lyle Granulated Sugar,1 x 5kg,kg,6.79,3,2026-09-07,0.80
Brakes,10527,"C 10527, C10527",Roquette,250g,kg,1.42,16,2026-09-11,0.90
Brakes,105613,,Green Valley Dairy Buttermilk,1x5kg,kg,15.46,2,2025-11-12,0.90
Brakes,105956,"A 105956, A105956",Brakes Crisp Puffed Rice,8 x 600g,kg,22.18,8,2026-01-17,0.80
Brakes,106727,"A 106727, A106727",Brakes Sliced Green Jalapeno Peppers in Brine,1 x 1kg,kg,2.62,17,2026-09-07,0.90
Brakes,10678,"A 10678, A10678",Freshers Fat Reduced Cocoa Powder,1 x 500g,kg,8.51,48,2026-09-09,0.80
Brakes,107232,A 107232,DaVinci Vanilla Coffee Syrup,1 x 1ltr,L,,3,2026-07-21,0.90
Brakes,107568,A 107568,Microfibre Cloth Blue,1 x 10,,10.49,3,2026-09-01,0.90
Brakes,109349,,T & L Sucrolose Sweetener Stick,1x1000,,7.48,2,2026-03-16,0.90
Brakes,109618,C 109618,"Alpro Soya Plant-Based Long Life Drink, Vegan & Dairy Free,",8 x 1ltr,L,11.61,2,2026-08-10,0.90
Brakes,110078,A 110078,Snacking Essentials Chilli Peanuts,1 x 1kg,kg,8.95,2,2026-03-23,0.90
Brakes,110080,A 110080,Snacking Essentials Salty Mix,1 x 1kg,kg,8.81,2,2026-03-23,0.90
Brakes,11127,"C 11127, C11127",Wholesome Farms Unsalted Butter,40x250g,kg,58.51,158,2026-09-11,0.70
Brakes,112159,"A 112159, A112159",Kerrymaid Double,1 x 1 litre,L,3.76,25,2026-09-10,0.90
Brakes,113654,"C 113654, C113654",ALPRO Soya For Professionals,1x1ltr,L,1.7,36,2026-09-10,0.90
Brakes,113879,"C 113879, C113879",Herb Bunched Basil,1x100g,kg,2.03,80,2026-09-11,0.80
Brakes,114591,"F 114591, F114591",Daloon Falafel,60 x 25g,kg,15.11,18,2026-09-01,0.90
Brakes,114953,"A 114953, A114953",Sysco Classic Self Raising Flour,6 x 1.5kg,kg,11.12,9,2026-07-21,0.90
Brakes,114957,"A 114957, A114957",FREEE Gluten Free Self Raising White Flour,5 x 1kg,kg,10.7,16,2026-08-12,0.89
Brakes,114964,A114964,Rough Cut White Sugar Cubes (605),8x1kg,kg,40.31,2,2026-04-07,0.90
Brakes,115803,"A 115803, A115803",Peroni Nastro Azzurro,24 x 330ml,L,27.19,11,2026-08-10,0.90
Brakes,117293,"A 117293, A117293",Schweppes Original Soda Water 1L,6 x 1ltr,L,10.56,9,2026-07-21,0.90
Brakes,117804,,Camembert,6x240g,kg,18.05,2,2026-03-16,0.95
Brakes,119649,"C 119649, C119649",Bar Mix Olives (Pitted),1x1kg,kg,12.35,50,2026-09-11,0.80
Brakes,119689,"A 119689, A119689",Cooks & Co Green Pesto Alla Genovese,1 x 1.2kg,kg,11.26,10,2026-08-10,0.90
Brakes,120087,"F 120087, F120087",Lamb Mini Potato Puffs,1x1kg,kg,3.68,53,2026-09-11,0.90
Brakes,120133,A120133,Tidman's Natural Rock Salt 500g,1 x 500g,kg,1.32,2,2026-04-15,0.90
Brakes,122879,A122879,Twinings Earl Grey String & Tag Tea Bags,100 x 2g,kg,7.76,2,2026-04-27,0.90
Brakes,123027,"C 123027, C123027",Arla UHT Whole Milk,12x1ltr,L,16.68,42,2026-09-11,0.90
Brakes,123502,"C 123502, C123502",Lemons,1 x 20,,3.86,71,2026-09-09,0.70
Brakes,125135,A 125135,Green Scourer,1 x 10,,0.89,5,2026-09-01,0.90
Brakes,126887,"A 126887, A126887",eGreen Red Paper Barber Straw,1 x 250,,3.21,28,2026-09-02,0.90
Brakes,126918,"A 126918, A126918",Sysco Classic Chilli Jam,1 x 1.25kg,kg,9.44,9,2026-08-10,0.90
Brakes,127145,A127145,Oreo Small Crushed Cookie Pieces,12 x 400g,kg,43.39,2,2026-04-30,0.90
Brakes,128154,"C 128154, C128154",Alpro Soya Wholebean Unsweetened,8x1Ltr,L,13.13,10,2026-09-11,0.90
Brakes,128306,"A 128306, A128306",Oatly Oat Drink Barista Editn,6x1ltr,L,10.77,67,2026-09-11,0.70
Brakes,128761,,Lyles Golden Syrup,1x750g,kg,2.3,2,2025-12-12,0.90
Brakes,129077,"F 129077, F129077",Brake Porcini Mushroom Arancini,40x35g,kg,22.85,38,2026-09-11,0.90
Brakes,129209,C 129209,Sysco Premium Velvet Houmous,1 x 1kg,kg,5.45,2,2026-04-15,0.90
Brakes,129304,"A 129304, A129304",Ocean Spray Cranberry Classic Juice Drink 1L,12 x 1ltr,L,16.02,5,2026-04-29,0.90
Brakes,129445,F 129445,"Simply Plant Based 6"" Unbaked Vegan Sausage Roll",50 x 120g,kg,27.01,3,2026-09-01,0.90
Brakes,129476,A129476,The London Essence Co. Soda Water 200ml,24 x 200ml,L,21.9,2,2026-03-11,0.90
Brakes,129497,"A 129497, A129497",Arran Fine Foods Caramelised Onion Chutney,1 x 2.35kg,kg,12.66,9,2026-09-01,0.90
Brakes,129529,A129529,Reliance Medical Blue Assorted Plasters,1 x 150,,7.34,3,2026-09-02,0.90
Brakes,129916,A 129916,eGreen Naturelle Cocktail Black Paper Straw 140 x 6mm,4 x 250,,16.58,3,2026-03-23,0.90
Brakes,130698,A130698,eGreen Black Paper Straw 200mm x 6mm,4 x 250,,13.36,2,2026-03-25,0.90
Brakes,131051,"F 131051, F131051",Sysco Classic Cauliflower Wings,1x1kg,kg,9.16,9,2026-09-04,0.80
Brakes,132644,A 132644,Maldon Sea Salt Flakes,1 x 570g,kg,5.59,5,2026-04-20,0.90
Brakes,132839,A 132839,Clear Vinyl Powdered Disposabale Glove Xtra Large,1 x 100,,5.49,2,2026-04-15,0.93
Brakes,133522,A 133522,PH Shield Vinyl Clear Gloves Small Powder Free,1 x 100,,5.99,6,2026-08-12,0.90
Brakes,133561,"F 133561, F133561",Brakes Essentials Fully Baked Tomato & Cheese Quiche Slabs,4 x 1kg,kg,22.18,9,2026-06-11,0.90
Brakes,133562,F 133562,Brake Essen Leek & Emmental Slab,4x1kg,kg,23.07,8,2026-09-11,0.90
Brakes,133638,"F 133638, F133638",Brakes Essentials Quiche Lorraine,4x1kg,kg,22.5,9,2026-09-11,0.90
Brakes,133678,"A 133678, A133678",Dr Oetker Cocoa Powder,1x1kg,kg,15.04,40,2026-09-11,0.90
Brakes,133687,"A 133687, A133687",Macphie Vegan Cream Alternative,1x1ltr,L,3.77,7,2026-08-12,0.90
Brakes,133732,"A 133732, A133732",Baylis & Harding Jasmine & Apple Blossom Hand Wash,1 x 5ltr,L,10.14,21,2026-08-12,0.90
Brakes,133751,"A 133751, A133751",Super Professional Green Washing Up Liquid,2 x 5ltr,L,10.45,21,2026-09-08,0.90
Brakes,133755,"A 133755, A133755",Super Professional Glass and Stainless Steel Cleaner,6 x 750ml,L,6.92,5,2026-08-10,0.90
Brakes,133756,A 133756,Super Professional Machine Dishwash,2 x 5ltr,L,13,4,2026-04-13,0.90
Brakes,133757,"A 133757, A133757",Super Toilet Cleaner,6x1ltr,L,6.43,4,2026-04-20,0.90
Brakes,133965,,Sheese Original Spread,6x255g,kg,14.13,2,2025-12-11,0.90
Brakes,134245,"A 134245, A134245",Doritos Lightly Salted Tortilla Chips Crisps Nachos,12 x 455g,kg,30.17,16,2026-09-09,0.90
Brakes,134277,A 134277,Monin Pump for 1ltr Plastic Syrup,1 x 1,L,3.98,2,2026-04-06,0.90
Brakes,134331,"C 134331, C134331",Buffalo Mozzarella,8 x 125g,kg,15.95,5,2026-03-30,0.80
Brakes,134383,"A 134383, A134383",Propercorn Sweet & Salty Popcorn,8 x 90g,kg,8.95,11,2026-07-15,0.90
Brakes,134730,"F 134730, F134730",Salimah Halal Sliced Beef Pepperoni,1 x 1kg,kg,12.24,17,2026-07-21,0.90
Brakes,135095,A 135095,DaVinci Sugar Free Vanilla Syrup,1 x 1ltr,L,7.41,2,2026-04-20,0.90
Brakes,135336,"A 135336, A135336",Sysco Classic Sour Cream 890g,1 x 890g,kg,4.39,23,2026-09-07,0.90
Brakes,135420,"C 135420, C135420",Sheese Vegan Grated Mozzarella,1 x 1kg,kg,9.65,11,2026-08-10,0.90
Brakes,135429,"A 135429, A135429",OGGS® Aquafaba Plant-Based Egg Alternative,1 x 1ltr,L,6.01,20,2026-07-21,0.90
Brakes,135440,A 135440,Ramon Hygiene Grey Dustpan & Brush,1x1,,9.37,2,2026-04-29,0.90
Brakes,135575,"C 135575, C135575",Noble Free Range Liquid Egg White,1x1kg,kg,3.88,123,2026-09-11,0.70
Brakes,135791,"F 135791, F135791",Sysco Simply Falafel,1x1.4kg,kg,18.45,17,2026-09-11,0.90
Brakes,136145,"F 136145, F136145",Ice Club Ice Cubes,5x1.8kg,kg,3.91,10,2026-08-12,0.90
Brakes,136227,A 136227,Brakes Mini Pink and White Marshmallows,1 x 350g,kg,5.45,4,2026-04-13,0.90
Brakes,136346,"A 136346, A136346",Kettle Lightly Salted Crisps,12 x 130g,kg,17.98,6,2026-07-21,0.90
Brakes,136376,A 136376,Brake Essentials Degreaser,6X750ML,L,10.28,6,2026-05-11,0.90
Brakes,136385,A 136385,Brakes Essentials Air Freshener,6 x 750ml,L,9.44,2,2026-04-10,0.90
Brakes,136387,A 136387,Brakes Essentials Pine Disinfectant,2 x 5ltr,L,6.71,2,2026-04-29,0.90
Brakes,136396,C 136396,Brakes Garlic Butter,1 x 1.75kg,kg,32.54,2,2026-04-29,0.90
Brakes,136706,A 136706,Brakes Essentials Rinse Aid,2 x 5ltr,L,0.5,3,2026-04-15,0.93
Brakes,136708,"A 136708, A136708",Brakes Essentials Dishwasher Detergent,2 x 5ltr,L,12.87,8,2026-07-21,0.90
Brakes,136748,A136748,Sysco Classic Lemon Juice 1ltr,1 x 1ltr,L,2.44,3,2026-01-14,0.90
Brakes,136749,"A 136749, A136749",Sysco Classic Lime Juice,1 x 1ltr,L,2.55,5,2026-09-09,0.90
