sku,supplier,supplier_sku,cost_gbp,pack_size,pack_size_raw,price_is_placeholder,sku_is_placeholder,invoice_name
10IN-CAKE-BRDS,Amazon,YFNVH,19.16,,,,,"50 Pcs 10 Inch Round Cake Cardboard, White Food Grade Cake Card Boards Bases for Baking, 3mm Thick Circles Grease-Proof Disposable Cake Plate Trays for Birthdays, Weddings, Desserts, Pizza, DIY"
10IN-CAKE-BRDS,Culpitt,16J-STR10,10.53,,,,,16J-STR10
10IN-CAKE-BRDS,The Vanilla Valley Limited,CUL-90406,2.54,,,,,"10"" Round Masonite 5mm Cake Board - Gloss White"
10IN-RND-CARD,Cater 4 You,P/VCE63,29.66,,Pack of 100,,,"10"" Round Silver Cake Card:"
10IN-SQR-CARD,Cater 4 You,NOSKU,0.10,,Box / Case,yes,yes,"10"" Square Silver Cake Card"
10IN-SQR-CARD,Cater 4 You,P/VCE25,29.66,,Pack of 100,,,"10"" Square Silver Cake Card"
10IN-SQR-CARD,Culpitt,CES10,16.83,,,,,"10"" (254mm) Square Cut Edge Cake Cards (1.1mm thick)"
12IN-CLER-PIPE,Amazon,B0G5W5TWFV,2.49,,,,,"50PCS Disposable Piping Bags, 12-Inch Clear Plastic Icing Bags, Dispose After Wse with No Washing Required, Crush-Resistant and Tear-Proof, Ideal for Frosting Decorating Cakes and Cookieses"
21IN-PIPE-BAGS,Amazon,B07YL17367,9.32,,x 100,,,"Bakery Direct 100% Recyclable 21"" Savoy Piping Bags"
21IN-PIPE-BAGS,Amazon,NOSKU,0.10,,x 100,yes,yes,"Bakery Direct 100% Recyclable 21"" Savoy Piping Bags"
21IN-PIPE-BAGS,Brakes,20954,18.96,,1x100,,,Blue Piping Bag 003 21inch
21IN-PIPE-BAGS,Brakes,A 20954,0.10,,1 x 100,yes,,Blue Piping Bag
21IN-PIPE-BAGS,Brakes,A20954,0.10,,1 x 100,yes,,Blue Piping Bag
21IN-PIPE-BAGS,Cater 4 You,25100021,27.06,,Box of 500,,,"21"" Stronghold Disposable Piping Bags"
