name,slug
ASDA,asda
Aldi,aldi
Alibaba,alibaba
Amazon,amazon
B&M,b-m
Be at one Liverpool,be-at-one-liverpool
Booker,booker
Brakes,brakes
Cater 4 You,cater-4-you
Coffee House,coffee-house
Culpitt,culpitt
Deniz London,deniz-london
JMPosner,jmposner
LWC Drinks,lwc-drinks
Lidl,lidl
M&S,m-s
Makro,makro
Morrisons,morrisons
Nisa,nisa
Poundland,poundland
SLR Supplies,slr-supplies
Sainsbury's,sainsbury-s
Supreme Creations,supreme-creations
Sysco,sysco
Tesco,tesco
The Vanilla Valley Limited,the-vanilla-valley-limited
The red burn farm,the-red-burn-farm
Tooting Mini Market,tooting-mini-market
Wholesale Sweets,wholesale-sweets
